name,address,icon,userComment,rating,tags,photos
"Saint-Jean-Pied-de-Port","64220 Saint-Jean-Pied-de-Port, France","bus","","","À essayer#Village mignon",""
"Yèvre-le-Châtel Castle","1 Place du Château, 45300 Yèvre-la-Ville, France","generic","","","À essayer#Village mignon",""
"Saint-Cirq Lapopie","46330 Saint-Cirq-Lapopie, France","generic","","","À essayer#Village mignon",""
"Sainte-Croix-en-Jarez","Cr des Freres, Sainte-Croix-en-Jarez, France","generic","","","À essayer#Village mignon",""
"Collonges la Rouge","Rue de la Barrière, 19500 Collonges-la-Rouge, France","lodging","","","À essayer#Village mignon",""
"Les Remparts, À Gerberoy","2 Allée du Jeu de Tamis, 60380 Gerberoy, France","restaurant","","","Village mignon",""
"Rocamadour","46500 Rocamadour, France","generic","","","Village mignon",""
"La Vague Des Remparts / Parc Blandan","Rue Victorien Sardou, Lyon, France","generic","","","À essayer#Kids#Jeux#Parc & Nature",""
"STREET BANGKOK - Poissonnière","71 Rue du Faubourg Poissonnière, 75009 Paris, France","restaurant","","","À essayer#Restaurant",""
"Brasserie Dubillot","222 Rue Saint-Denis, 75002 Paris, France","restaurant","","","À essayer#Restaurant",""
"Les Résistants","16 Rue du Château d'Eau, 75010 Paris, France","restaurant","","","À essayer#Restaurant",""
"Miznon Canal","37 Quai de Valmy, 75010 Paris, France","restaurant","","","À essayer#Grignotage",""
"Les Parigots République - Restaurant Paris 10 eme","5 Rue du Château d'Eau, 75010 Paris, France","restaurant","","","Restaurant",""
"Le Calbar","82 Rue de Charenton, 75012 Paris, France","bar","Cocktails + caleçons 
Yannick","","À essayer#Bar",""
"Chez GIGI","8 Rue du Général Compans, Pantin","restaurant","","","Restaurant",""
"Café Rollin","76 Rue de Dunkerque, Paris","cafe","","","À essayer#Cafe",""
"Orjets Art Occasions","Rue de Belzunce, Paris","shopping","","","À essayer#Bar",""
"Bar du Louxor","170 Boulevard de Magenta, Paris","bar","","","À essayer#Bar#Restaurant",""
